GPRegPop,Hypertens,Anxiety,Depression,Asthma,Obesity,Diabetes,CHD,Fall,Cancer,CKD,COPD,Target,AF
1495,165,163,175,110,102,63,47,51,25,17,36,33,19
1457,203,191,173,92,90,62,58,80,38,35,35,33,29
1343,190,191,171,104,96,68,53,50,25,24,29,23,21
1391,269,131,100,102,125,54,51,33,43,39,31,23,18
1459,265,161,133,92,124,96,87,85,41,58,50,51,38
1450,200,162,142,93,114,70,51,33,35,21,30,22,15
1497,330,217,206,107,160,111,116,56,52,72,95,56,44
1406,192,111,94,85,80,49,36,24,37,20,18,18,23
1557,293,108,89,90,101,74,85,27,68,51,27,32,47
1705,255,172,126,82,147,91,57,47,42,44,39,25,24
1706,214,183,146,112,143,65,53,69,24,37,31,31,29
1436,200,142,116,101,141,102,46,48,33,32,29,24,21
1514,210,136,151,104,135,78,68,40,32,38,48,43,32
2029,338,333,357,192,221,135,104,200,57,54,106,89,46
2038,299,394,464,226,235,126,94,145,41,35,124,38,39
1847,222,293,326,150,181,93,58,102,30,26,56,27,25
1936,226,361,442,169,199,120,59,142,37,40,81,40,22
1577,213,195,204,116,121,75,43,55,30,21,40,25,17
1879,307,365,368,165,180,153,106,119,46,45,136,50,30
1643,219,188,176,114,122,75,40,51,37,25,36,17,18
2080,238,247,265,146,140,117,97,68,23,49,65,43,39
1780,226,233,247,151,180,113,83,63,36,43,78,48,30
1873,230,199,222,149,155,110,59,70,35,49,71,42,20
1683,210,233,240,127,143,90,65,88,35,38,63,43,25
1406,192,169,134,90,108,61,48,70,28,27,31,24,30
1703,195,208,206,120,139,103,76,49,22,38,72,33,27
1408,251,123,96,84,72,99,75,117,63,48,18,57,51
1673,232,150,118,110,62,87,50,123,62,34,19,32,29
1466,192,166,169,97,73,57,62,103,47,30,24,31,23
1267,187,141,111,80,66,65,48,90,39,40,32,20,38
1372,146,141,115,85,60,68,35,101,38,26,16,24,20
1426,170,137,108,96,60,102,61,100,51,33,9,30,29
1516,228,155,163,119,73,83,60,111,63,46,28,40,37
1500,237,211,225,121,113,99,82,131,46,39,64,37,34
1307,151,134,102,83,48,62,39,83,28,32,19,28,25
1566,225,113,85,92,66,100,68,106,62,25,8,26,33
1530,258,153,170,104,85,93,71,86,49,47,32,37,37
1470,231,164,150,96,100,85,68,109,36,26,40,49,38
1535,191,156,148,122,79,75,57,93,41,26,30,21,31
1525,142,154,135,131,108,71,47,59,25,13,26,20,15
1586,239,185,224,131,119,120,82,75,47,47,66,49,19
1278,237,106,125,88,72,69,57,73,34,33,26,36,27
1590,248,128,139,109,94,91,83,81,56,43,19,23,37
1485,249,100,100,89,49,77,69,116,45,30,15,44,28
1670,225,132,156,125,77,69,50,91,50,23,19,32,32
1754,258,133,133,108,69,70,67,101,48,51,24,36,48
1377,175,76,79,82,37,51,37,62,45,26,13,19,25
1546,202,102,100,71,53,58,46,65,36,29,11,29,30
1670,229,117,125,100,55,66,51,74,55,37,19,26,36
1340,178,119,125,79,67,79,36,61,27,30,25,23,20
1697,231,132,158,101,79,75,53,102,55,28,30,29,37
1473,220,97,95,95,50,61,62,69,44,31,13,35,39
1539,206,83,126,93,81,69,51,68,35,39,25,26,26
1333,200,78,104,75,61,64,41,48,46,24,11,21,33
1484,220,84,96,87,55,57,52,48,43,25,15,27,31
1357,195,82,98,87,29,43,37,46,43,23,9,28,28
1369,163,210,194,110,79,58,41,43,25,24,34,20,11
1648,330,195,210,100,96,110,113,93,61,67,56,70,45
2154,171,265,281,140,159,86,46,65,19,26,57,14,16
1738,261,157,179,112,103,101,59,65,43,54,40,27,36
1480,217,186,155,97,108,100,63,61,34,36,35,38,21
1569,181,187,177,115,73,57,38,36,36,25,30,18,16
1516,229,157,139,102,73,58,68,53,53,34,32,26,27
1112,130,146,131,67,81,52,37,39,17,24,22,14,17
1458,205,101,81,69,64,58,65,33,40,49,24,34,36
1182,231,97,95,77,73,62,50,29,44,35,24,25,31
1517,245,105,99,98,67,63,80,38,52,44,38,31,32
1485,216,88,89,100,48,60,50,35,51,29,20,28,32
1354,187,115,115,76,44,60,39,31,51,24,16,28,27
1662,313,144,159,83,67,86,82,95,78,55,33,54,81
1411,229,154,133,89,56,65,48,57,52,33,26,20,34
1346,196,84,92,76,51,54,45,28,43,23,15,19,36
1448,248,128,116,91,90,75,63,48,43,38,21,23,28
1364,245,105,92,82,57,76,69,46,62,48,31,32,53
1351,225,115,90,92,58,66,68,46,45,50,19,21,27
1623,150,222,226,108,138,68,38,70,26,28,31,21,19
1537,179,200,208,109,153,87,43,67,29,32,41,28,19
1514,147,202,163,101,115,63,38,65,28,24,26,18,16
1640,230,181,126,98,103,91,59,80,54,50,30,30,30
1583,249,196,192,125,124,78,54,108,40,54,46,56,31
1456,196,181,161,82,124,80,45,68,29,36,45,21,27
1598,214,272,306,97,146,98,66,55,27,28,70,27,24
1656,174,196,184,115,150,74,52,70,29,24,45,27,22
1522,245,222,159,114,146,88,62,80,44,41,38,29,29
1540,192,193,187,120,102,78,52,58,30,34,35,28,22
1654,269,243,234,149,144,103,95,97,44,63,87,61,46
1476,286,199,158,94,114,91,83,69,63,62,50,43,51
1462,193,240,247,123,143,103,65,84,37,40,80,23,27
1317,204,184,172,116,105,60,56,58,35,33,43,34,26
1493,223,183,173,108,108,80,64,73,49,41,34,41,29
1757,219,217,204,115,122,61,57,74,45,37,28,39,19
1551,275,194,159,96,117,90,86,71,56,57,40,33,43
1097,219,128,109,84,74,69,59,47,40,42,37,33,27
1619,223,161,162,110,143,109,103,43,36,32,63,30,24
1420,245,114,123,85,89,72,72,25,47,48,19,28,28
1882,325,166,171,122,116,110,106,59,57,73,49,62,58
1606,216,151,138,104,109,76,69,37,47,24,39,17,24
1769,228,168,161,96,103,108,96,47,46,42,42,32,35
1300,225,87,86,68,65,71,69,18,45,46,13,30,33
1650,244,167,151,107,117,98,93,42,44,63,46,33,31
1443,230,110,123,105,85,86,76,44,50,50,43,35,41
1316,254,104,104,71,72,67,81,33,41,49,22,25,29
1591,275,124,142,103,112,95,71,56,64,44,30,33,28
1426,222,114,73,75,66,105,81,69,57,40,18,37,40
1558,213,138,90,93,94,98,48,74,45,27,23,29,29
1619,226,155,107,106,93,101,56,78,31,38,22,43,33
1546,200,158,108,99,74,73,45,69,35,37,27,21,21
1730,228,108,66,102,94,101,58,77,48,27,20,24,32
1528,258,121,80,92,97,96,72,77,62,38,26,51,40
1597,196,146,129,84,77,90,57,91,43,30,37,34,27
1449,235,121,106,77,88,102,60,74,47,42,21,25,27
1323,167,79,68,112,84,66,43,60,42,26,32,22,20
1677,190,155,126,124,112,65,46,58,33,25,45,33,20
1856,224,147,138,121,91,64,49,63,49,41,19,33,28
1404,156,92,76,103,73,60,45,40,51,35,15,13,20
1658,219,131,120,130,89,67,50,57,36,35,18,20,32
1582,190,86,67,126,110,91,56,68,40,27,19,21,34
1103,113,74,62,78,58,41,27,31,30,13,9,17,12
1611,210,142,146,113,79,67,51,57,52,55,27,40,31
1591,226,123,126,98,69,45,49,53,52,43,26,25,29
1606,277,133,144,118,135,99,55,61,58,43,42,39,32
1623,209,118,123,96,102,74,38,53,39,39,27,16,21
1860,277,148,134,122,88,82,44,67,64,64,37,32,40
1451,164,121,128,78,53,41,38,44,38,20,23,28,19
1510,206,103,80,81,71,51,46,41,36,38,25,16,31
1788,208,159,146,92,115,81,62,51,40,42,41,32,27
1462,251,110,104,94,82,68,55,51,57,55,40,36,46
1146,161,79,71,80,67,42,40,47,31,29,21,15,16
1492,218,126,145,99,97,86,62,32,43,50,22,22,22
1732,248,257,219,130,134,89,61,90,35,47,48,25,28
1544,249,198,168,104,101,74,61,67,42,47,40,30,36
1700,241,306,300,133,138,110,72,89,32,53,65,31,26
1581,237,184,169,96,124,74,60,75,37,39,23,25,24
1605,247,207,193,112,120,94,66,74,37,44,39,33,30
1459,222,193,163,109,102,108,65,66,37,30,52,37,20
1705,224,187,229,154,141,90,97,49,41,55,60,54,36
1401,209,156,162,118,111,63,56,46,56,43,43,30,33
1663,226,175,172,105,77,67,81,26,46,40,22,41,38
1373,220,119,119,97,62,47,45,7,59,36,12,39,31
1342,223,92,96,72,90,52,66,32,68,40,16,50,45
1581,266,92,103,106,83,67,71,30,62,56,22,37,50
1515,245,108,128,96,110,69,67,33,56,47,19,33,33
1492,233,147,142,101,91,64,71,47,52,64,30,49,53
1493,176,113,140,112,135,69,45,45,23,22,52,20,18
1591,181,143,147,113,136,90,41,45,14,29,52,20,16
1456,183,118,115,109,136,75,45,45,30,28,43,20,25
1516,267,114,132,104,160,110,75,63,27,53,45,32,40
1452,147,117,130,97,104,69,49,42,18,21,39,20,12
1223,265,83,105,67,106,66,48,37,42,35,24,17,24
1269,198,90,102,75,97,66,62,35,29,32,46,16,30
1674,215,132,130,105,126,81,59,35,39,41,45,26,34
1433,197,98,96,107,127,67,53,37,24,36,34,18,20
1205,162,88,82,67,81,77,59,36,30,26,37,33,20
1510,158,109,124,91,114,56,38,29,22,25,31,20,17
1662,232,157,155,122,123,88,77,58,43,42,44,41,35
1746,291,153,157,126,125,90,79,38,69,47,42,48,54
1707,360,143,143,105,116,107,108,54,65,81,66,63,55
1604,291,164,170,131,134,94,83,58,61,43,61,59,55
1453,342,119,91,105,150,114,84,46,69,61,38,44,56
1675,231,166,143,120,163,93,87,54,37,66,71,41,38
1468,259,90,90,72,63,53,76,41,65,41,37,44,35
1567,240,130,106,107,94,72,61,34,52,42,31,32,40
1491,186,173,153,96,127,67,62,55,18,55,44,35,21
1191,283,124,88,75,52,66,83,86,46,43,24,44,46
1291,265,135,109,76,51,84,69,98,57,58,16,31,44
1507,200,105,94,99,37,48,43,12,51,33,15,29,30
1668,247,138,142,110,81,68,76,43,60,56,36,44,38
1696,261,215,242,117,134,78,64,67,48,51,61,47,50
1440,276,120,140,97,120,84,96,69,55,52,38,42,50
1535,244,153,153,121,105,65,68,57,42,39,36,35,28
1454,257,107,119,114,70,84,81,84,66,55,32,45,35
1499,235,97,94,94,118,83,66,25,36,36,40,32,20
1610,181,127,133,99,125,80,48,30,29,33,53,29,19
1585,212,162,149,104,128,75,58,59,39,33,37,26,28
1751,195,159,159,106,147,82,52,65,30,26,54,15,16
1719,234,226,236,112,160,127,78,78,34,39,98,59,39
1638,188,140,171,105,122,69,46,51,24,38,53,31,26
1705,261,131,114,122,139,85,65,49,37,56,26,25,26
1582,198,132,140,135,136,95,67,38,34,36,42,31,34
1440,264,116,116,85,116,85,62,27,47,37,46,23,25
1553,258,94,78,85,46,56,61,51,57,30,20,25,42
1460,208,86,75,71,30,32,42,44,56,34,17,34,39
1423,268,98,103,83,44,77,76,62,66,36,24,49,52
1068,187,62,62,45,33,45,43,34,36,20,8,27,33
1440,176,139,126,91,62,60,41,47,39,22,17,21,32
1740,227,232,244,109,131,95,71,55,35,31,43,46,29
1436,250,103,94,82,55,72,57,47,45,35,22,38,52
1740,240,87,79,89,47,52,55,63,64,23,17,29,49
1512,263,100,103,79,37,62,70,37,51,39,20,43,53
1442,225,82,89,85,54,60,52,28,54,24,15,28,41
